
=== strategy=seu-us  seed=0  missing_rate=0.2 ===
 Round  #Remaining        Mean         Min         Max    #Pos
   263        3151    -0.05319    -2.50094     0.00000      67
   264        3150    -0.03739    -1.99697     0.00000      57
   265        3149    -0.05017    -2.72505     0.00000      58
   266        3148    -0.02651    -2.22058     0.00000      72
   267        3147    -0.03804    -2.37145     0.00000      65
   268        3146    -0.03695    -2.21740     0.00000      64
   269        3145    -0.01919    -1.32451     0.00000      63
   270        3144    -0.05191    -2.72504     0.00000      69
   271        3143    -0.03957    -2.36875     0.00000      71
   272        3142    -0.02501    -2.08638     0.00000      68
   273        3141    -0.06147    -2.63126     0.00000      60
   274        3140    -0.06502    -2.50466     0.00000      73
   275        3139    -0.07296    -2.63127     0.00000      65
   276        3138    -0.04920    -2.05053     0.00000      67
   277        3137    -0.04059    -1.40652     0.00000      71
   278        3136    -0.03642    -2.36883     0.00000      68
   279        3135    -0.02970    -2.72504     0.00000      61
   280        3134    -0.04548    -2.07947     0.00000      69
   281        3133    -0.04037    -2.50479     0.00000      66
   282        3132    -0.06081    -2.36912     0.00000      66
   283        3131    -0.06763    -2.37147     0.00000      61
   284        3130    -0.05760    -2.37148     0.00000      63
   285        3129    -0.04763    -2.72505     0.00000      54
   286        3128    -0.05578    -2.64226     0.00000      70
   287        3127    -0.04040    -1.95690     0.00000      65
   288        3126    -0.03745    -2.72505     0.00000      63
   289        3125    -0.01524    -1.72524     0.00000      76
   290        3124    -0.04683    -2.37148     0.00000      61
   291        3123    -0.03970    -2.64324     0.00000      65
   292        3122    -0.03439    -2.08419     0.00000      78
   293        3121    -0.03219    -2.08620     0.00000      63
   294        3120    -0.04805    -1.99711     0.00000      49
   295        3119    -0.05364    -2.20006     0.00000      70
   296        3118    -0.04867    -2.23436     0.00000      64
   297        3117    -0.05536    -2.72506     0.00000      68
   298        3116    -0.03458    -2.50406     0.00000      69
   299        3115    -0.03538    -2.21623     0.00000      62
   300        3114    -0.04694    -2.72506     0.00000      58
   301        3113    -0.04774    -2.72506     0.00000      58
   302        3112    -0.03269    -1.73004     0.00000      57
   303        3111    -0.03367    -2.50301     0.00000      67
   304        3110    -0.05442    -2.37153     0.00000      68
   305        3109    -0.02957    -2.63398     0.00000      66
   306        3108    -0.05145    -2.72506     0.00000      52
   307        3107    -0.03484    -1.56811     0.00000      81
   308        3106    -0.04652    -2.32556     0.00000      67
   309        3105    -0.02292    -1.91762     0.00000      70
   310        3104    -0.04688    -2.09993     0.00000      60
   311        3103    -0.04763    -2.63399     0.00000      66
   312        3102    -0.04038    -2.50304     0.00000      61
   313        3101    -0.02988    -2.72506     0.00000      60
   314        3100    -0.04283    -2.63399     0.00000      73
   315        3099    -0.06183    -2.72507     0.00000      60
   316        3098    -0.03987    -2.21344     0.00000      57
   317        3097    -0.03867    -1.93797     0.00000      67
   318        3096    -0.03483    -1.35377     0.00000      73
   319        3095    -0.04164    -2.72504     0.00000      59
   320        3094    -0.06959    -2.65195     0.00000      45
   321        3093    -0.04171    -2.05053     0.00000      67
   322        3092    -0.03658    -2.37424     0.00000      72
   323        3091    -0.03708    -2.65178     0.00000      67
   324        3090    -0.05785    -1.94098     0.00000      59
   325        3089    -0.03400    -2.37940     0.00000      63
   326        3088    -0.04086    -2.37402     0.00000      61
   327        3087    -0.04740    -2.22224     0.00000      59
   328        3086    -0.05539    -2.72503     0.00000      63
   329        3085    -0.04392    -1.93813     0.00000      55
   330        3084    -0.05874    -2.65122     0.00000      68
   331        3083    -0.03851    -1.80837     0.00000      78
   332        3082    -0.03074    -2.07214     0.00000      63
   333        3081    -0.05142    -2.65103     0.00000      71
   334        3080    -0.04019    -2.72503     0.00000      62
   335        3079    -0.04012    -2.63397     0.00000      63
   336        3078    -0.05582    -2.37937     0.00000      64
   337        3077    -0.03876    -2.24356     0.00000      52
   338        3076    -0.02239    -2.24356     0.00000      70
